aesthetic;source;ribbon_x;ribbon_y;line_x;line_y;point_x;point_y;errorbar_x;errorbar_y;hvline_x;hvline_y;boxplot_x;boxplot_y;hist_x;hist_y;scalingRelevant
alpha;ggplot2;1;1;1;1;1;1;1;1;;;;;1;1;
angle;ggplot2;;;;;;;;;;;;;;;
colour;ggplot2;1;1;1;1;1;1;1;1;1;1;;;1;1;
fill;ggplot2;1;1;;;1;1;;;;;1;1;1;1;
group;ggplot2;1;1;1;1;1;1;;;;;;;1;1;
hjust;ggplot2;;;;;;;;;;;;;;;
label;ggplot2;;;;;;;;;;;;;;;
linetype;ggplot2;1;1;1;1;;;1;1;1;1;;;1;1;
linewidth;ggplot2;1;1;1;1;;;1;1;1;1;;;1;1;
lower;ggplot2;;;;;;;;;;;;;;;1
middle;ggplot2;;;;;;;;;;;;;;;1
radius;ggplot2;;;;;;;;;;;;;;;
sample;ggplot2;;;;;;;;;;;;;;;
shape;ggplot2;;;;;1;1;;;;;;;;;
size;ggplot2;;;;;1;1;;;;;;;;;
stroke;ggplot2;;;;;1;1;;;;;;;;;
upper;ggplot2;;;;;;;;;;;;;;;1
vjust;ggplot2;;;;;;;;;;;;;;;
weight;ggplot2;;;;;;;;;;;;;;;
width;ggplot2;;;;;;;;;;;;;;;
x;ggplot2;;2;2;2;2;2;;2;;;2;1;;2;
xend;ggplot2;;;;;;;;;;;;;;;
xintercept;ggplot2;;;;;;;;;2;;;;;;
xmax;ggplot2;2;;;;;;2;;;;;;;;
xmin;ggplot2;2;;;;;;2;;;;;;;;
y;ggplot2;2;;2;2;2;2;2;;;;1;2;2;;1
yend;ggplot2;;;;;;;;;;;;;;;
yintercept;ggplot2;;;;;;;;;;2;;;;;1
ymax;ggplot2;;2;;;;;;2;;;;;;;1
ymin;ggplot2;;2;;;;;;2;;;;;;;1
z;ggplot2;;;;;;;;;;;;;;;
error;ospsuite.plots;;;;;;;;;;;;;;;
error_relativ;ospsuite.plots;;;;;;;;;;;;;;;
lloq;ospsuite.plots;;;;;;;;;;;;;;;1
mdv;ospsuite.plots;;;;;;;;;;;;;;;
y2axis;ospsuite.plots;;;;;;;;;;;;;;;
